employee_id,first_name,last_name,department,job_title,hire_date,employment_status,position_id,salary,supervisor_id
1069,Lindsey,Chase,Finance,Budget Officer,2017-07-06,Terminated,P189,99321,1006.0
1070,Brent,Kidd,Water Operations,Operations Supervisor,2016-02-05,Active,P190,120068,1008.0
1071,Tanya,House,Customer Service,Service Rep,2019-11-13,Active,P191,130468,1002.0
1072,Gabriel,Tucker,Customer Service,CSR Lead,2019-06-26,Active,P192,105745,1000.0
1073,Michelle,Barrera,Finance,Financial Analyst,2018-08-25,On Leave,P193,80676,1006.0
1074,Nicholas,Galloway,Customer Service,CSR Lead,2020-05-10,Terminated,P194,145717,1007.0
1075,Sara,Glover,HR,HR Manager,2020-09-12,Terminated,P195,73577,1001.0
1076,Rodney,Bernard,Water Operations,Operations Supervisor,2025-04-20,Active,P196,132512,1001.0
1077,Dorothy,Tucker,Water Operations,Water Quality Analyst,2019-01-28,Terminated,P197,87607,1004.0
1078,Kenneth,Novak,Finance,Budget Officer,2025-09-12,Terminated,P198,94600,1007.0
1079,Jill,Brown,Infrastructure,Engineer II,2021-03-07,Active,P199,72097,1009.0
1080,Brian,Silva,Infrastructure,Engineer II,2024-05-26,Active,P200,60464,1004.0
1081,Samantha,Schmidt,Finance,Budget Officer,2016-10-24,On Leave,P201,81178,1006.0
1082,Susan,Miller,Customer Service,CSR Lead,2019-01-03,Terminated,P202,61267,1000.0
1083,Casey,Jones,HR,Recruiter,2019-11-06,Terminated,P203,64722,1004.0
1084,Richard,David,Customer Service,Service Rep,2025-07-15,On Leave,P204,76704,
1085,John,Wheeler,Water Operations,Water Quality Analyst,2017-03-29,Active,P205,106898,1002.0
1086,Robert,Silva,Engineering,Systems Engineer,2024-09-27,Terminated,P206,73473,1004.0
1087,Leslie,Green,Customer Service,CSR Lead,2021-03-11,Terminated,P207,80257,1002.0
1088,John,Foster,Finance,Accountant,2020-12-13,On Leave,P208,63248,1001.0
1089,Stephen,Hickman,Engineering,Project Engineer,2017-01-29,On Leave,P209,147806,1002.0
1090,Albert,Howell,Water Operations,Operations Supervisor,2025-06-04,Terminated,P210,74168,1005.0
1091,Wendy,Jones,HR,HR Specialist,2019-06-22,Active,P211,86158,1006.0
1092,William,Anderson,Water Operations,Water Quality Analyst,2021-10-13,Active,P212,89219,
1093,Nicole,Suarez,Engineering,Systems Engineer,2022-02-18,On Leave,P213,103025,1003.0
1094,Justin,Kim,HR,HR Manager,2025-02-01,On Leave,P214,144080,1007.0
1095,Jade,Carr,Infrastructure,Civil Engineer,2024-11-04,Terminated,P215,103404,
1096,Alan,Montoya,HR,HR Manager,2020-12-09,Active,P216,136099,1003.0
1097,Sarah,Garcia,HR,HR Analyst,2018-02-17,Terminated,P217,116959,1004.0
1098,Joseph,Preston,Engineering,Project Engineer,2025-04-04,On Leave,P218,139457,1007.0
1099,Eric,Campbell,HR,HR Specialist,2019-06-06,Terminated,P219,84914,1003.0
